artist,album,track,uri,track_id,album_name,track_name,duration_ms,explicit,popularity,danceability,energy,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_genre,artist_1,artist_2,artist_3,tempo_scaled,loudness_scaled
future,future,mask off,spotify:track:0VgkVdmE4gld66l8iyGjgx,0vgkvdme4gld66l8iygjgx,future,mask off,204600,1,83,0.833,0.434,1,0.431,0.0102,0.0219,0.165,0.281,hip-hop,future,,,0.6165951711782786,0.1887529512770981
elton john,goodbye yellow brick road,bennie and the jets - remastered 2014,spotify:track:5Wj1rJnCLpMHdLaxsFtJLs,5wj1rjnclpmhdlaxsftjls,goodbye yellow brick road (remastered),bennie and the jets - remastered 2014,322548,0,74,0.665,0.673,1,0.0493,0.259,7.62e-06,0.497,0.779,piano,elton john,,,0.5450175040678468,0.1706160120197467
laura marling,i speak because i can,what he wrote,spotify:track:2CTOa3CEBts3p1NyTVLTXU,2ctoa3cebts3p1nytvltxu,i speak because i can,what he wrote,247123,0,58,0.458,0.0987,0,0.0376,0.948,0.00954,0.109,0.349,british,laura marling,,,0.5751976398270959,0.3438506117192531
a tribe called quest,midnight marauders,electric relaxation,spotify:track:32WDVNZXIAuu7EqncTTKjH,0eexcw3jlvxcrxyrvymy68,the anthology,electric relaxation,226133,0,68,0.866,0.534,1,0.229,0.184,0.266,0.0929,0.841,hardcore,a tribe called quest,,,0.4036742106733724,0.197467267654003
the lumineers,cleopatra,ophelia,spotify:track:5NORWMFC27ywGSZxi8uquP,5norwmfc27ywgszxi8uqup,cleopatra,ophelia,160097,0,79,0.664,0.573,1,0.0277,0.613,0.000363,0.0857,0.566,folk,the lumineers,,,0.3123736502144864,0.139901266366173
the beatles,the beatles,blackbird - remastered 2009,spotify:track:5jgFfDIR6FR0gvlA56Nakr,5jgffdir6fr0gvla56nakr,the beatles (remastered),blackbird - remastered 2009,138386,0,74,0.686,0.127,1,0.0342,0.754,1.41e-05,0.0573,0.372,british,the beatles,,,0.3850032049701691,0.3082206482077699
foo fighters,concrete and gold,the sky is a neighborhood,spotify:track:3kdMzXOcrDIdSWLdONHNK5,3kdmzxocrdidswldonhnk5,concrete and gold,the sky is a neighborhood,244573,0,65,0.357,0.549,0,0.0698,0.000798,0.00485,0.22,0.531,grunge,foo fighters,,,0.5372392880035501,0.1683193818415969
flying lotus,the room,the room,spotify:track:3Xci1c096KD2T1A3rHBGYa,3xci1c096kd2t1a3rhbgya,the room,the room,137546,0,54,0.348,0.595,1,0.0421,0.179,0.0181,0.19,0.0729,j-dance,flying lotus,devin tracy,,0.8722285225909308,0.1305430349860485
nina simone,wild is the wind,lilac wine,spotify:track:3Hi4KlRtdgJbyIUpeFBckY,5uc8z0solifjagxl51xoiw,jazz noir,lilac wine,255305,0,0,0.393,0.143,1,0.0367,0.955,4.9e-05,0.0962,0.21,soul,nina simone,,,0.3425085876764788,0.2570508692852544
robin thicke,blurred lines,blurred lines,spotify:track:0n4bITAu0Y0nigrz3MFJMb,0n4bitau0y0nigrz3mfjmb,blurred lines (deluxe),blurred lines,263826,0,76,0.853,0.599,1,0.0411,0.00334,7.93e-06,0.0759,0.843,soul,robin thicke,t.i.,pharrell williams,0.4930435711585555,0.1020605280103027
westside connection,terrorist threats,call 9-1-1,spotify:track:5J5Bbx7lKQOQXeW1EAL9Mz,5j5bbx7lkqoqxew1eal9mz,terrorist threats,call 9-1-1,223760,1,57,0.751,0.884,0,0.291,0.109,0.0,0.157,0.816,hardcore,westside connection,,,0.3201272126620975,0.0759605065464692
ricky nelson,the legendary masters series,lonesome town - 1990 digital remaster,spotify:track:56XoFI6v7kbGNdM8ALYWof,56xofi6v7kbgndm8alywof,the legendary masters series (volume 1),lonesome town - 1990 digital remaster,135840,0,50,0.508,0.0965,1,0.031,0.856,0.012,0.102,0.296,rockabilly,ricky nelson,,,0.3201148858537547,0.3924018029620091
badbadnotgood,iv,time moves slow,spotify:track:7p7Epk1oBEgUIbpqqDyIQB,1iqf5pudunaykhls0rwbdo,iv,time moves slow,273864,0,71,0.591,0.376,0,0.0543,0.478,0.0282,0.101,0.308,jazz,badbadnotgood,samuel t. herring,,0.5753578883355522,0.2324747799957073
ben e. king,don't play that song,stand by me,spotify:track:3SdTKo2uVsxFblQjpScoHy,3sdtko2uvsxfblqjpscohy,don't play that song (mono),stand by me,180055,0,80,0.65,0.306,1,0.0393,0.57,7.07e-06,0.0707,0.605,r-n-b,ben e. king,,,0.4851338691386026,0.2026615153466409
ben e. king,don't play that song,stand by me,spotify:track:3SdTKo2uVsxFblQjpScoHy,2kqm3kdm0zmbc9iynepbbs,stand by me,stand by me,174253,0,58,0.653,0.334,1,0.0313,0.411,3.47e-05,0.123,0.665,rock-n-roll,ben e. king,,,0.4908535082096543,0.1492594977462975
2pac,all eyez on me,all eyez on me (ft. big syke),spotify:track:4VQNCzfZ3MdHEwwErNXpBo,4vqnczfz3mdhewwernxpbo,all eyez on me,all eyez on me (ft. big syke),307773,1,77,0.872,0.723,1,0.247,0.0293,0.0,0.327,0.843,funk,2pac,big syke,,0.3832774518021793,0.1280746941403735
the animals,the singles plus,house of the rising sun,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,4mn2kntqiglwaur8jdhj1l,the singles plus,house of the rising sun,269906,0,75,0.316,0.484,0,0.0308,0.000334,0.00445,0.0912,0.299,blues,the animals,,,0.4822370691780484,0.1955140588109036
the animals,the singles plus,house of the rising sun,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,5wgjzcbyloou1bp9q899bo,love the 60s,house of the rising sun,270520,0,16,0.296,0.546,0,0.032,0.000373,0.0871,0.0937,0.309,psych-rock,the animals,,,0.4821631083279917,0.1727194676969307
marvin gaye,united,ain't no mountain high enough,spotify:track:2H3ZUSE54pST4ubRd5FzFR,7tqhbajsfrz2f7e1z75asx,united,ain't no mountain high enough,151666,0,82,0.663,0.6,1,0.032,0.43,0.0,0.184,0.8,funk,marvin gaye,tammi terrell,,0.5341247144289402,0.2332904056664519
peter tosh,the essential peter tosh (the columbia years),legalize it,spotify:track:605ZHoLZx7PtQ8fXgvN10K,73lyi49lhfssco33ohrgn0,legalize it (legacy edition),legalize it,279360,0,57,0.71,0.589,1,0.167,0.068,4.38e-06,0.176,0.65,dub,peter tosh,,,0.5941562710582976,0.2561064606138656
elvis costello & the attractions,armed forces,two little hitlers,spotify:track:7MS9MwYlOH3S10Zo4qcF55,19cyqn564bdnwz0loyjdjp,armed forces (remastered 2020),two little hitlers,193373,0,26,0.685,0.497,1,0.0516,0.0396,0.0,0.0622,0.781,power-pop,elvis costello & the attractions,,,0.4701650148743487,0.2839879802532732
sophie,product,hard,spotify:track:4dLgqMwWUiM1FzyedzhU2u,64ljzpsz4vxvndcyx1762m,hard,hard,174367,0,42,0.779,0.728,0,0.227,0.0119,0.0854,0.108,0.552,club,sophie,,,0.3450931084923492,0.1279459111397296
the internet,ego death,girl (feat. kaytranada),spotify:track:3PFaFVWq5wucLu6s4baj9D,3pfafvwq5wuclu6s4baj9d,ego death,girl (feat. kaytranada),415613,1,68,0.568,0.42,0,0.276,0.536,0.124,0.101,0.453,soul,the internet,kaytranada,,0.3282629061683348,0.2397080918652071
michael jackson,off the wall,rock with you - single version,spotify:track:7oOOI85fVQvVnK5ynNMdW7,7oooi85fvqvvnk5ynnmdw7,off the wall,rock with you - single version,220626,0,75,0.808,0.535,1,0.0353,0.179,9.91e-05,0.158,0.848,soul,michael jackson,,,0.4685460940453298,0.2687271946769693
brandy,never say never,the boy is mine,spotify:track:6sHsXIJoEN5JpdkGMQDJxt,4igltsj1eh3ua0zack3mih,gourmet soul,the boy is mine,239683,0,0,0.659,0.726,0,0.0415,0.308,1.31e-05,0.139,0.709,soul,brandy,monica,,0.3823118518153279,0.1290405666452029
stevie wonder,the definitive collection,superstition - single version,spotify:track:1h2xVEoJORqrg71HocgqXd,2fu4jsaorioam2azk907yb,halloween 2022,superstition - single version,244826,0,0,0.637,0.745,1,0.0748,0.0173,0.000554,0.0372,0.859,funk,stevie wonder,,,0.4124714428940059,0.1847177505902554
mos def,black on both sides,speed law,spotify:track:5mHmQbPrSvrXjXFKdK8xCP,0crcw8u5hxd6ztd7v8ay1i,the best 90s hip hop hits,speed law,256453,1,3,0.794,0.667,0,0.373,0.0565,0.0,0.407,0.695,alternative,mos def,,,0.4027579179198922,0.1638763683193819
octavian,papi chulo,papi chulo,spotify:track:6Juv5N0dNU1imms9c9u1dA,1s1bzvv8sqyy39s6kwchuk,papi chulo,papi chulo,161667,1,68,0.866,0.563,0,0.102,0.187,0.0,0.0888,0.309,alternative,octavian,skepta,,0.525553473694591,0.149474136080704
buena vista social club,buena vista social club,el cuarto de tula,spotify:track:7dRfobhDNnsEgB2ZArxA1f,5ujaosrdoi4shw9gm2enpc,buena vista social club,el cuarto de tula,445426,0,14,0.546,0.715,1,0.0459,0.621,0.000218,0.294,0.85,world-music,buena vista social club,,,0.4310479430665812,0.2559776776132217
corinne bailey rae,corinne bailey rae,put your records on,spotify:track:2nGFzvICaeEWjIrBrL2RAx,6kt6lnwhmw13qed345a84e,oo's music grandi successi,put your records on,215413,0,0,0.736,0.506,1,0.0344,0.182,3.57e-06,0.134,0.563,british,corinne bailey rae,,,0.394798908666568,0.1686198755097661
third eye blind,third eye blind,semi-charmed life,spotify:track:42et6fnHCw1HIPSrdPprMl,42et6fnhcw1hipsrdpprml,third eye blind,semi-charmed life,268360,0,75,0.64,0.864,1,0.0314,0.00832,0.0,0.123,0.701,grunge,third eye blind,,,0.4192183159936229,0.1411247048722902
john martyn,solid air,over the hill,spotify:track:4doNObRI4sHz3klm81tZmu,4donobri4shz3klm81tzmu,solid air,over the hill,172440,0,59,0.613,0.46,0,0.0316,0.31,0.0044,0.136,0.759,british,john martyn,,,0.3856072185789655,0.2791371538956858
santana,abraxas,oye como va,spotify:track:5u6y4u5EgDv0peILf60H5t,5u6y4u5egdv0peilf60h5t,abraxas,oye como va,256933,0,67,0.736,0.379,1,0.0539,0.301,0.345,0.104,0.948,blues,santana,,,0.5275832881350361,0.2834728482506976
serum,vip,lumberjackin' - vocal mix,spotify:track:2rrQ5uFbqOpJ1dYFfiV30G,21z3s5rwljkj9jp23xp7lj,the wolf pack - souped up's greatest hits,lumberjackin' - vocal mix,240337,0,17,0.832,0.865,0,0.121,0.0238,5.26e-06,0.0632,0.44,drum-and-bass,serum,inja,,0.3656994231053695,0.0324318523288259
little richard,good golly!,lucille,spotify:track:4YXKKnIZuk7UtXH5oC0ffa,4yxkknizuk7utxh5oc0ffa,good golly!,lucille,143826,0,56,0.676,0.708,0,0.0698,0.592,0.000307,0.166,0.919,rockabilly,little richard,,,0.5903267425998061,0.2600128783000643
adele,19,chasing pavements,spotify:track:0Z5ok0QLLttAKsujOZYOXf,0z5ok0qllttaksujozyoxf,19,chasing pavements,210506,0,74,0.616,0.47,0,0.0253,0.291,0.0,0.111,0.325,british,adele,,,0.3288381572243314,0.1307362094870143
burial,nova / moth,nova,spotify:track:7dYjEwbLJ1B5reoz3lWra0,7dyjewblj1b5reoz3lwra0,nova / moth,nova,342000,0,53,0.675,0.759,0,0.0543,0.516,0.934,0.372,0.129,dub,burial,four tet,,0.5259068422004175,0.3000858553337626
modern talking,ready for romance,brother louie,spotify:track:5zWZ9iNevP0397xB3jWV2z,5zwz9inevp0397xb3jwv2z,ready for romance,brother louie,222666,0,71,0.783,0.836,0,0.0486,0.396,0.0236,0.135,0.831,german,modern talking,,,0.4477343326265963,0.1979394719896974
jimi hendrix,are you experienced,hey joe,spotify:track:0NWPxcsf5vdjdiFUI8NgkP,0nwpxcsf5vdjdifui8ngkp,are you experienced,hey joe,210160,0,70,0.346,0.768,1,0.0377,0.00603,0.38,0.0244,0.532,blues,jimi hendrix,,,0.6964317998783754,0.1222150676110753
xxxtentacion,17,jocelyn flores,spotify:track:7m9OqQk4RVRkw9JJdeAw96,7m9oqqk4rvrkw9jjdeaw96,17,jocelyn flores,119133,1,84,0.872,0.391,0,0.242,0.469,4.13e-06,0.297,0.437,emo,xxxtentacion,,,0.550683726969413,0.1962438291478858
22gz,growth & development,"suburban, pt. 2",spotify:track:7rWLqeQJabrK7FbY8X0TyI,0ohb7gato0tsh5mfdqtmlw,the hype,"suburban, pt. 2",190746,1,2,0.829,0.572,1,0.746,0.281,0.0,0.124,0.54,r-n-b,22gz,,,0.5914197196061995,0.1481219145739429
the temptations,the temptations sing smokey,my girl,spotify:track:6jWkZvd1URGktyTTwcpPpB,745h5cctfr12mo7cqa1bmh,the temptations sing smokey,my girl,165000,0,79,0.572,0.418,1,0.0349,0.635,0.0,0.0961,0.694,funk,the temptations,,,0.4296550137238466,0.2304571796522859
sophie,oil of every pearl's un-insides,immaterial,spotify:track:1huN927tTdSiwF90FBHXkT,6golarmr2ozl2eldehfrsa,oil of every pearl's un-insides,immaterial,232806,0,53,0.776,0.717,1,0.0836,0.115,0.00755,0.327,0.828,club,sophie,,,0.5752305113160101,0.1050869285254346
modeselektor,who else,wealth,spotify:track:5aOlYhQsp75cgPov4yjWIe,5aolyhqsp75cgpov4yjwie,who else,wealth,247218,0,38,0.765,0.452,1,0.0856,0.0204,5.73e-05,0.0727,0.331,minimal-techno,modeselektor,flohio,,0.5669181335568595,0.2649710238248551
the white stripes,elephant,seven nation army,spotify:track:47wPvRG8FEwbZP22UBgTQr,3dpqux8gs42y7b454ybpmr,elephant,seven nation army,232106,0,84,0.743,0.446,0,0.0683,0.0039,0.118,0.337,0.278,alt-rock,the white stripes,,,0.5078480679782391,0.1675466838377335
"tito ""el bambino""",top of the line,flow natural,spotify:track:2oeyvFG0mFFDHUxhPVObNk,78ibi5q8xhs4qywd0om2sw,perreo en halloween,flow natural,173866,0,2,0.831,0.789,1,0.0661,0.121,0.0,0.328,0.826,latin,"tito ""el bambino""",beenie man,ines,0.4151545781766185,0.1179866924232668
warren g,regulate… g funk era,regulate,spotify:track:68pWLkspLFIfIPPtzyTkQy,4uikhabs2ixy0aw0y31rj4,regulate...g funk era (20th anniversary),regulate,248866,1,43,0.858,0.583,0,0.218,0.323,1.08e-06,0.113,0.755,hardcore,warren g,nate dogg,,0.3915199776473875,0.2343850611719253
the notorious b.i.g.,ready to die,juicy - 2005 remaster,spotify:track:5ByAIlEEnxYdvpnezg7HTX,5byaileenxydvpnezg7htx,ready to die (the remaster),juicy - 2005 remaster,302760,1,76,0.889,0.818,1,0.253,0.47,0.0,0.179,0.782,hardcore,the notorious b.i.g.,,,0.3947167299442828,0.0995492594977464
green day,greatest hits: god's favorite band,boulevard of broken dreams,spotify:track:5GorCbAP4aL0EJ16frG2hd,5gorcbap4al0ej16frg2hd,greatest hits: god's favorite band,boulevard of broken dreams,262333,1,77,0.496,0.682,1,0.0294,0.00552,2.94e-05,0.0589,0.474,punk,green day,,,0.686438867248492,0.0878729341060313
bob marley & the wailers,confrontation,buffalo soldier,spotify:track:7BfW1eoDh27W69nxsmRicb,7bfw1eodh27w69nxsmricb,confrontation,buffalo soldier,255840,0,72,0.929,0.463,1,0.308,0.142,5.26e-06,0.0634,0.757,reggae,bob marley & the wailers,,,0.5098532288019986,0.1856621592616442
nas,illmatic,n.y. state of mind,spotify:track:0trHOzAhNpGCsGBEu7dOJo,0trhozahnpgcsgbeu7dojo,illmatic,n.y. state of mind,293973,1,72,0.665,0.91,0,0.223,0.0394,0.0,0.227,0.887,hardcore,nas,,,0.3455574182732607,0.1004722043356943
mos def,black on both sides,mathematics,spotify:track:32W1K50AaXGXoRBn3Zyax4,3grlmtdcynokiyozn2pqc9,black on both sides,mathematics,246440,1,62,0.753,0.749,0,0.316,0.0285,0.0,0.0845,0.832,hardcore,mos def,,,0.3853771181565669,0.1315947628246405
taylor swift,fearless (taylor's version),you belong with me (taylor’s version),spotify:track:1qrpoAMXodY6895hGKoUpA,6vjaxvexh6hoeiezlfdhrp,sunny mornings,you belong with me (taylor’s version),231124,0,9,0.632,0.773,1,0.0346,0.0623,0.0,0.0885,0.474,pop,taylor swift,,,0.534297289745739,0.1042069113543679
william onyeabor,world psychedelic classics 5: who is william onyeabor?,atomic bomb,spotify:track:5dEt0DGA9MGwBlwdBG6a62,5sjfoe1ln1azl3wr5aebuo,atomic bomb,atomic bomb,480146,0,17,0.761,0.382,1,0.035,0.0279,0.00676,0.0562,0.966,afrobeat,william onyeabor,,,0.48028121558766,0.186778278600558
aphex twin,windowlicker,windowlicker,spotify:track:409z4jUHpq7eIkg3N3FzZh,60pe9j2pcba4zp4ztf5nhd,windowlicker,windowlicker,368400,0,55,0.698,0.789,1,0.163,0.132,0.0091,0.366,0.492,ambient,aphex twin,,,0.5054648850319675,0.1059240180296201
watchhouse,such jubilee,daylight,spotify:track:5BlGmys9VqmHZbf7eswxG1,11tmwrhkxwtvcctedaxjja,such jubilee,daylight,193533,0,69,0.582,0.371,0,0.028,0.912,0.00784,0.108,0.163,bluegrass,watchhouse,,,0.5290501783278273,0.2057093796952136
taeko onuki,sunshower,tokai,spotify:track:1SmwJJ8YVgiXtyE6elhUx1,1smwjj8yvgixtye6elhux1,sunshower,tokai,310173,0,52,0.616,0.753,0,0.0475,0.543,0.0012,0.0987,0.761,techno,taeko onuki,,,0.4039207468402281,0.1795235028976175
montell jordan,best of montell jordan,this is how we do it,spotify:track:6aJ90LBl96bly9zuEH1U2X,6aj90lbl96bly9zueh1u2x,best of montell jordan,this is how we do it,237546,0,66,0.791,0.702,1,0.0623,0.0174,0.0,0.423,0.789,j-dance,montell jordan,,,0.4258747924987262,0.1573728267868641
burna boy,"love, damini",cloak & dagger (feat. j hus),spotify:track:0cE68B5sCz9f3snJ5ueTGZ,0ce68b5scz9f3snj5uetgz,"love, damini",cloak & dagger (feat. j hus),211050,0,66,0.62,0.601,1,0.221,0.154,0.00108,0.271,0.46,dancehall,burna boy,j hus,,0.4262939039823809,0.1423910710452887
wham!,fantastic,club tropicana,spotify:track:6tASfEUyB7lE2r6DLzURji,6tasfeuyb7le2r6dlzurji,fantastic,club tropicana,265600,0,64,0.658,0.714,1,0.0519,0.0294,5.7e-05,0.651,0.806,disco,wham!,,,0.4819083542889075,0.198454603992273
gojira,magma,magma,spotify:track:56iv5TqfvxVa4zLMs6SvmP,56iv5tqfvxva4zlms6svmp,magma,magma,402493,0,49,0.375,0.888,1,0.0447,0.000239,0.00708,0.0942,0.191,death-metal,gojira,,,0.2742755945630557,0.1276024898046791
ll cool j,mama said knock you out,mama said knock you out,spotify:track:6C7ZgThn6Yan5MTZdAEEFw,6c7zgthn6yan5mtzdaeefw,mama said knock you out,mama said knock you out,289693,1,64,0.791,0.759,0,0.129,0.0314,0.674,0.255,0.619,hardcore,ll cool j,,,0.4206810972502999,0.1583386992916935
little walter,the essential little walter,my babe,spotify:track:4KMXlzvtC8xjLseDqDjpeU,4kmxlzvtc8xjlsedqdjpeu,the essential little walter,my babe,162040,0,59,0.676,0.334,1,0.0508,0.862,0.0,0.32,0.867,acoustic,little walter,,,0.6492119060532847,0.2268941833011376
burial,untrue,archangel,spotify:track:6evpAJCR5GeeHDGgv3aXb3,6evpajcr5geehdggv3axb3,untrue,archangel,240426,0,50,0.604,0.851,1,0.166,0.457,0.548,0.114,0.553,dub,burial,,,0.5552199924395576,0.2171281390856407
the smashing pumpkins,siamese dream,today - 2011 remaster,spotify:track:0u5aO1GYsIhAWCPuXdwnak,3cahgauuq0n55ejlbs2wjo,siamese dream (2011 - remaster),today - 2011 remaster,201173,0,62,0.457,0.825,1,0.0268,3.29e-05,0.578,0.0548,0.414,grunge,the smashing pumpkins,,,0.339147477935013,0.1633397724833656
foster the people,torches,pumped up kicks,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,7w87ixuo7bdcj3yuqcymtt,torches,pumped up kicks,239600,0,84,0.733,0.71,0,0.0292,0.145,0.115,0.0956,0.965,indie,foster the people,,,0.5258410992225893,0.1255204979609359
gza,liquid swords,shadowboxin',spotify:track:5wLbH0gCmtaczMZbFfafXY,7bp5dfkdk1oavnj1u4hfda,liquid swords,shadowboxin',209973,1,66,0.704,0.642,1,0.39,0.00704,1.43e-06,0.161,0.72,hardcore,gza,method man,,0.3783919267623227,0.2169778922515561
radiohead,pablo honey,creep,spotify:track:70LcF31zb1H0PyJoS1Sx1r,70lcf31zb1h0pyjos1sx1r,pablo honey,creep,238640,1,85,0.515,0.43,1,0.0372,0.0097,0.000133,0.129,0.104,alt-rock,radiohead,,,0.3773811284782143,0.2132217213994419
mos def,black on both sides,ms. fat booty,spotify:track:0IVAlb0cFCH1cQ974iR1TU,0ivalb0cfch1cq974ir1tu,black on both sides,ms. fat booty,223546,1,71,0.782,0.589,1,0.189,0.148,0.0,0.164,0.869,hardcore,mos def,,,0.371603964301563,0.103584460184589
king crimson,in the court of the crimson king (expanded & remastered original album mix),"21st century schizoid man - including ""mirrors""",spotify:track:5L7VBYoosmkmiiDlzumdCe,5l7vbyoosmkmiidlzumdce,in the court of the crimson king (expanded & remastered original album mix),"21st century schizoid man - including ""mirrors""",442580,0,57,0.306,0.701,0,0.0647,0.000398,0.592,0.197,0.555,j-rock,king crimson,,,0.380676495241852,0.2127709808971882
mr. vegas,mr vegas: the hits,heads high,spotify:track:1mTEDYrH2BGlVA8FuXegji,3qio2nizbllpcuvtit3ddy,reggae mix usa [mixed by jabba],heads high,195520,1,29,0.818,0.755,1,0.309,0.53,0.0,0.276,0.702,dancehall,mr. vegas,,,0.3980367503246059,0.1142949130714745
amy winehouse,amy,stronger than me,spotify:track:5LC7nItIEFp4nzdFdEGbf9,5lc7nitiefp4nzdfdegbf9,amy (original motion picture soundtrack),stronger than me,214493,0,63,0.883,0.458,0,0.0411,0.0401,0.000419,0.0603,0.816,british,amy winehouse,,,0.3756635931824532,0.145954067396437
bunny wailer,blackheart man,dream land,spotify:track:7vp89zcbYncoBCbX5HA3tZ,7vp89zcbyncobcbx5ha3tz,blackheart man,dream land,166773,0,56,0.782,0.43,1,0.363,0.175,0.000294,0.0603,0.89,dub,bunny wailer,,,0.2972363295695478,0.3065893968662803
toploader,onka's big moka,dancing in the moonlight,spotify:track:3Fzlg5r1IjhLk2qRw667od,1fhnctv68gunlgxclg2dtr,dancing in the moonlight: the best of toploader,dancing in the moonlight,233373,0,67,0.639,0.845,0,0.0372,0.0528,0.0,0.336,0.871,alt-rock,toploader,,,0.4909356869319395,0.0715174930242541
grateful dead,workingman's dead,casey jones - 2013 remaster,spotify:track:7LbfuQVct78YoghmoPtsQ8,7lbfuqvct78yoghmoptsq8,workingman's dead,casey jones - 2013 remaster,265067,0,60,0.671,0.405,1,0.0392,0.385,0.0,0.132,0.828,psych-rock,grateful dead,,,0.4095705339973374,0.2157329899119983
fela kuti,the best of the black president,lady,spotify:track:3O8WqOP1z3WtQU0TcT0ocH,7qgrjvqqmh6blino4dyk3c,the best of the black president,lady,828586,0,18,0.747,0.858,1,0.0544,0.302,8.49e-05,0.115,0.536,afrobeat,fela kuti,,,0.4383947208388803,0.1734277742004721
nas,it was written,if i ruled the world (imagine that) (feat. lauryn hill),spotify:track:5PQmSHzWnlgG4EBuIqjac2,5pqmshzwnlgg4ebuiqjac2,it was written,if i ruled the world (imagine that) (feat. lauryn hill),282373,1,70,0.879,0.564,0,0.247,0.0474,9.43e-06,0.0519,0.523,hardcore,nas,ms. lauryn hill,,0.3858619726180497,0.1648637046576518
nas,soul ultimate experience vol 1,the world is yours,spotify:track:6vtXH0mZmnWtJEjdtGMnyY,7g3lxtsmfsx4yarmkfgntc,illmatic,the world is yours,290573,1,68,0.678,0.794,0,0.14,0.274,1.68e-06,0.124,0.54,hardcore,nas,,,0.3590141840474664,0.1327538098304357
the daktaris,soul explosion,upside down,spotify:track:5dwrqWnsLRpWzlwV7h35RZ,3ytf02cgqsphca4srk2rsw,soul explosion,upside down,254920,0,16,0.66,0.807,0,0.0531,0.103,0.662,0.0688,0.754,afrobeat,the daktaris,,,0.4679790608615617,0.1836445589182228
nirvana,nevermind,come as you are,spotify:track:0MKGH8UMfCnq5w7nG06oM5,2rsaajgo0g7bmchxwh3sk0,nevermind (remastered),come as you are,218920,0,79,0.5,0.824,0,0.0388,0.00016,0.00161,0.0916,0.539,alt-rock,nirvana,,,0.4935859507256381,0.1254561064606139
hank williams,40 greatest hits,lovesick blues - single version,spotify:track:3ZsgYZLTVWVpcPOkXTwNjg,4rzfpgo4vzbjh5g7xcho2l,40 greatest hits,lovesick blues - single version,165240,0,36,0.776,0.197,1,0.0467,0.95,7.39e-06,0.147,0.689,honky-tonk,hank williams,drifting cowboys,,0.5186956593198889,0.2856192315947629
bill withers,just as i am,ain't no sunshine,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,1k1bqnv2r0ujxqn4u6lkyt,just as i am,ain't no sunshine,125093,0,79,0.527,0.415,0,0.122,0.457,1.72e-05,0.117,0.515,funk,bill withers,,,0.3211914271156912,0.2457608928954712
muddy waters,king of the electric blues,mannish boy,spotify:track:58PSYdY0GFg0LFb2PxYk4T,58psydy0gfg0lfb2pxyk4t,king of the electric blues,mannish boy,321133,0,63,0.598,0.735,1,0.0973,0.44,0.000215,0.681,0.615,blues,muddy waters,,,0.4566219614417435,0.2335479716677398
hozier,hozier,take me to church,spotify:track:3dYD57lRAUcMHufyqn9GcI,3dyd57lraucmhufyqn9gci,hozier,take me to church,241688,0,83,0.566,0.664,0,0.0464,0.634,0.0,0.116,0.437,singer-songwriter,hozier,,,0.5298267672534227,0.1138012449023395
django reinhardt,djangologie vol9 / 1939 - 1940,i'll see you in my dreams,spotify:track:52yEkn1b6BiOZad3x7x6PP,52yekn1b6biozad3x7x6pp,djangologie vol9 / 1939 - 1940,i'll see you in my dreams,153333,0,50,0.765,0.522,1,0.0339,0.931,0.913,0.102,0.84,guitar,django reinhardt,,,0.4632702200746182,0.2583386992916936
van morrison,blowin' your mind!,brown eyed girl,spotify:track:3yrSvpt2l1xhsV9Em88Pul,3yrsvpt2l1xhsv9em88pul,blowin' your mind!,brown eyed girl,183306,0,80,0.491,0.583,1,0.0376,0.185,0.0,0.406,0.908,folk,van morrison,,,0.6186660749798663,0.2353080060098734
young thug,best friend,best friend,spotify:track:33JcUj9qQDayKswunZP9ar,616ixzo76rq81meffbktme,trap masters,best friend,213000,1,4,0.959,0.598,1,0.0713,0.0358,0.0,0.358,0.408,hip-hop,young thug,,,0.5219499367223839,0.1187593904271303
bob marley & the wailers,exodus,one love / people get ready - medley,spotify:track:2HcyIzVsX45jLIxK7SH2aI,6sr0dduxh2vtgbfmlrivkv,exodus,one love / people get ready - medley,172933,0,71,0.67,0.516,1,0.366,0.0673,0.0,0.0674,0.939,reggae,bob marley & the wailers,,,0.6335404237134922,0.2059884095299421
ricky nelson,for your sweet love,i will follow you,spotify:track:4Y6pdMS2PwGshq1MYcJ9fC,4y6pdms2pwgshq1mycj9fc,for your sweet love,i will follow you,146133,0,58,0.671,0.442,1,0.0332,0.758,1.63e-05,0.108,0.749,r-n-b,ricky nelson,,,0.4962526502637936,0.2488516849109251
dr. dog,"shame, shame",where'd all the time go?,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,0uv5zxrmz6ao4zwuozniki,"shame, shame (deluxe edition)",where'd all the time go?,234800,0,77,0.454,0.82,1,0.0567,0.132,0.000969,0.115,0.575,folk,dr. dog,,,0.6833284026099962,0.0899763897832153
neil young,harvest,heart of gold,spotify:track:26QKxvjlCo2fSd3T4c8Zpb,5vd1qz0tdxoexiegc55ias,"eat, pray, love",heart of gold,188440,0,74,0.55,0.525,1,0.0275,0.288,0.0172,0.106,0.806,singer-songwriter,neil young,,,0.7033348125503345,0.1878729341060313
